OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10248,VINET,5,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,1996-07-16 00:00:00.000,3,32.38,Reims,NULL,51100,France
10249,TOMSP,6,1996-07-05 00:00:00.000,1996-08-16 00:00:00.000,1996-07-10 00:00:00.000,1,11.61,Münster,NULL,44087,Germany
10250,HANAR,4,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-12 00:00:00.000,2,65.83,Rio de Janeiro,RJ,05454-876,Brazil
10251,VICTE,3,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-15 00:00:00.000,1,41.34,Lyon,NULL,69004,France
10252,SUPRD,4,1996-07-09 00:00:00.000,1996-08-06 00:00:00.000,1996-07-11 00:00:00.000,2,51.30,Charleroi,NULL,B-6000,Belgium
10253,HANAR,3,1996-07-10 00:00:00.000,1996-07-24 00:00:00.000,1996-07-16 00:00:00.000,2,58.17,Rio de Janeiro,RJ,05454-876,Brazil
10254,CHOPS,5,1996-07-11 00:00:00.000,1996-08-08 00:00:00.000,1996-07-23 00:00:00.000,2,22.98,Bern,NULL,3012,Switzerland
10255,RICSU,9,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,1996-07-15 00:00:00.000,3,148.33,Genève,NULL,1204,Switzerland
10256,WELLI,3,1996-07-15 00:00:00.000,1996-08-12 00:00:00.000,1996-07-17 00:00:00.000,2,13.97,Resende,SP,08737-363,Brazil
10257,HILAA,4,1996-07-16 00:00:00.000,1996-08-13 00:00:00.000,1996-07-22 00:00:00.000,3,81.91,San Cristóbal,Táchira,5022,Venezuela
10258,ERNSH,1,1996-07-17 00:00:00.000,1996-08-14 00:00:00.000,1996-07-23 00:00:00.000,1,140.51,Graz,NULL,8010,Austria
10259,CENTC,4,1996-07-18 00:00:00.000,1996-08-15 00:00:00.000,1996-07-25 00:00:00.000,3,3.25,México D.F.,NULL,05022,Mexico
10260,OTTIK,4,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-29 00:00:00.000,1,55.09,Köln,NULL,50739,Germany
10261,QUEDE,4,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-30 00:00:00.000,2,3.05,Rio de Janeiro,RJ,02389-673,Brazil
10262,RATTC,8,1996-07-22 00:00:00.000,1996-08-19 00:00:00.000,1996-07-25 00:00:00.000,3,48.29,Albuquerque,NM,87110,USA
10263,ERNSH,9,1996-07-23 00:00:00.000,1996-08-20 00:00:00.000,1996-07-31 00:00:00.000,3,146.06,Graz,NULL,8010,Austria
10264,FOLKO,6,1996-07-24 00:00:00.000,1996-08-21 00:00:00.000,1996-08-23 00:00:00.000,3,3.67,Bräcke,NULL,S-844 67,Sweden
10265,BLONP,2,1996-07-25 00:00:00.000,1996-08-22 00:00:00.000,1996-08-12 00:00:00.000,1,55.28,Strasbourg,NULL,67000,France
10266,WARTH,3,1996-07-26 00:00:00.000,1996-09-06 00:00:00.000,1996-07-31 00:00:00.000,3,25.73,Oulu,NULL,90110,Finland
10267,FRANK,4,1996-07-29 00:00:00.000,1996-08-26 00:00:00.000,1996-08-06 00:00:00.000,1,208.58,München,NULL,80805,Germany
10268,GROSR,8,1996-07-30 00:00:00.000,1996-08-27 00:00:00.000,1996-08-02 00:00:00.000,3,66.29,Caracas,DF,1081,Venezuela
10269,WHITC,5,1996-07-31 00:00:00.000,1996-08-14 00:00:00.000,1996-08-09 00:00:00.000,1,4.56,Seattle,WA,98124,USA
10270,WARTH,1,1996-08-01 00:00:00.000,1996-08-29 00:00:00.000,1996-08-02 00:00:00.000,1,136.54,Oulu,NULL,90110,Finland
10271,SPLIR,6,1996-08-01 00:00:00.000,1996-08-29 00:00:00.000,1996-08-30 00:00:00.000,2,4.54,Lander,WY,82520,USA
10272,RATTC,6,1996-08-02 00:00:00.000,1996-08-30 00:00:00.000,1996-08-06 00:00:00.000,2,98.03,Albuquerque,NM,87110,USA
10273,QUICK,3,1996-08-05 00:00:00.000,1996-09-02 00:00:00.000,1996-08-12 00:00:00.000,3,76.07,Cunewalde,NULL,01307,Germany
10274,VINET,6,1996-08-06 00:00:00.000,1996-09-03 00:00:00.000,1996-08-16 00:00:00.000,1,6.01,Reims,NULL,51100,France
10275,MAGAA,1,1996-08-07 00:00:00.000,1996-09-04 00:00:00.000,1996-08-09 00:00:00.000,1,26.93,Bergamo,NULL,24100,Italy
10276,TORTU,8,1996-08-08 00:00:00.000,1996-08-22 00:00:00.000,1996-08-14 00:00:00.000,3,13.84,México D.F.,NULL,05033,Mexico
10277,MORGK,2,1996-08-09 00:00:00.000,1996-09-06 00:00:00.000,1996-08-13 00:00:00.000,3,125.77,Leipzig,NULL,04179,Germany
10278,BERGS,8,1996-08-12 00:00:00.000,1996-09-09 00:00:00.000,1996-08-16 00:00:00.000,2,92.69,Luleå,NULL,S-958 22,Sweden
10279,LEHMS,8,1996-08-13 00:00:00.000,1996-09-10 00:00:00.000,1996-08-16 00:00:00.000,2,25.83,Frankfurt a.M.,NULL,60528,Germany
10280,BERGS,2,1996-08-14 00:00:00.000,1996-09-11 00:00:00.000,1996-09-12 00:00:00.000,1,8.98,Luleå,NULL,S-958 22,Sweden
10281,ROMEY,4,1996-08-14 00:00:00.000,1996-08-28 00:00:00.000,1996-08-21 00:00:00.000,1,2.94,Madrid,NULL,28001,Spain
10282,ROMEY,4,1996-08-15 00:00:00.000,1996-09-12 00:00:00.000,1996-08-21 00:00:00.000,1,12.69,Madrid,NULL,28001,Spain
10283,LILAS,3,1996-08-16 00:00:00.000,1996-09-13 00:00:00.000,1996-08-23 00:00:00.000,3,84.81,Barquisimeto,Lara,3508,Venezuela
10284,LEHMS,4,1996-08-19 00:00:00.000,1996-09-16 00:00:00.000,1996-08-27 00:00:00.000,1,76.56,Frankfurt a.M.,NULL,60528,Germany
